1,1003,אדישות Apathy,2,1
2,1003,עצב Sadness,1,1
3,1003,רוגע Calm,4,1
4,1003,בידור Amusement,4,1
5,1003,צער Grief,1,1
6,1003,שמחה Happiness,3,1
7,1001,אדישות Apathy,2,2
8,1001,עצב Sadness,4,2
9,1001,רוגע Calm,2,2
10,1001,בידור Amusement,1,2
11,1001,צער Grief,3,2
12,1001,שמחה Happiness,3,2
13,1004,אדישות Apathy,4,3
14,1004,עצב Sadness,2,3
15,1004,רוגע Calm,4,3
16,1004,בידור Amusement,3,3
17,1004,צער Grief,2,3
18,1004,שמחה Happiness,2,3
19,1005,אדישות Apathy,3,4
20,1005,עצב Sadness,1,4
21,1005,רוגע Calm,4,4
22,1005,בידור Amusement,3,4
23,1005,צער Grief,1,4
24,1005,שמחה Happiness,2,4
25,1007,אדישות Apathy,2,5
26,1007,עצב Sadness,3,5
27,1007,רוגע Calm,4,5
28,1007,בידור Amusement,2,5
29,1007,צער Grief,3,5
30,1007,שמחה Happiness,3,5
31,1999,אדישות Apathy,1,6
32,1999,עצב Sadness,2,6
33,1999,רוגע Calm,3,6
34,1999,בידור Amusement,4,6
35,1999,צער Grief,5,6
36,1999,שמחה Happiness,5,6
37,1009,אדישות Apathy,2,7
38,1009,עצב Sadness,1,7
39,1009,רוגע Calm,5,7
40,1009,בידור Amusement,4,7
41,1009,צער Grief,1,7
42,1009,שמחה Happiness,4,7
43,1006,אדישות Apathy,1,8
44,1006,עצב Sadness,1,8
45,1006,רוגע Calm,3,8
46,1006,בידור Amusement,3,8
47,1006,צער Grief,1,8
48,1006,שמחה Happiness,3,8
49,1008,אדישות Apathy,1,9
50,1008,עצב Sadness,4,9
51,1008,רוגע Calm,3,9
52,1008,בידור Amusement,1,9
53,1008,צער Grief,4,9
54,1008,שמחה Happiness,1,9
55,1011,אדישות Apathy,4,10
56,1011,עצב Sadness,1,10
57,1011,רוגע Calm,4,10
58,1011,בידור Amusement,1,10
59,1011,צער Grief,1,10
60,1011,שמחה Happiness,3,10
61,1010,אדישות Apathy,1,11
62,1010,עצב Sadness,4,11
63,1010,רוגע Calm,4,11
64,1010,בידור Amusement,1,11
65,1010,צער Grief,4,11
66,1010,שמחה Happiness,3,11
67,1012,אדישות Apathy,3,12
68,1012,עצב Sadness,2,12
69,1012,רוגע Calm,4,12
70,1012,בידור Amusement,3,12
71,1012,צער Grief,2,12
72,1012,שמחה Happiness,3,12
73,1013,אדישות Apathy,2,13
74,1013,עצב Sadness,1,13
75,1013,רוגע Calm,2,13
76,1013,בידור Amusement,3,13
77,1013,צער Grief,1,13
78,1013,שמחה Happiness,2,13
79,16,אדישות Apathy,4,14
80,16,עצב Sadness,5,14
81,16,רוגע Calm,2,14
82,16,בידור Amusement,1,14
83,16,צער Grief,5,14
84,16,שמחה Happiness,1,14
85,1018,אדישות Apathy,3,15
86,1018,עצב Sadness,1,15
87,1018,רוגע Calm,4,15
88,1018,בידור Amusement,4,15
89,1018,צער Grief,1,15
90,1018,שמחה Happiness,5,15
91,1021,אדישות Apathy,4,16
92,1021,עצב Sadness,1,16
93,1021,רוגע Calm,5,16
94,1021,בידור Amusement,5,16
95,1021,צער Grief,1,16
96,1021,שמחה Happiness,4,16
97,1022,אדישות Apathy,3,17
98,1022,עצב Sadness,5,17
99,1022,רוגע Calm,2,17
100,1022,בידור Amusement,3,17
101,1022,צער Grief,4,17
102,1022,שמחה Happiness,3,17
103,1023,אדישות Apathy,2,18
104,1023,עצב Sadness,2,18
105,1023,רוגע Calm,4,18
106,1023,בידור Amusement,4,18
107,1023,צער Grief,3,18
108,1023,שמחה Happiness,4,18
109,1015,אדישות Apathy,3,19
110,1015,עצב Sadness,2,19
111,1015,רוגע Calm,5,19
112,1015,בידור Amusement,3,19
113,1015,צער Grief,1,19
114,1015,שמחה Happiness,3,19
115,1019,אדישות Apathy,1,20
116,1019,עצב Sadness,4,20
117,1019,רוגע Calm,3,20
118,1019,בידור Amusement,1,20
119,1019,צער Grief,5,20
120,1019,שמחה Happiness,2,20
121,1014,אדישות Apathy,1,21
122,1014,עצב Sadness,1,21
123,1014,רוגע Calm,4,21
124,1014,בידור Amusement,4,21
125,1014,צער Grief,1,21
126,1014,שמחה Happiness,5,21
127,1002,אדישות Apathy,4,22
128,1002,עצב Sadness,3,22
129,1002,רוגע Calm,4,22
130,1002,בידור Amusement,4,22
131,1002,צער Grief,3,22
132,1002,שמחה Happiness,4,22
133,1017,אדישות Apathy,3,23
134,1017,עצב Sadness,1,23
135,1017,רוגע Calm,5,23
136,1017,בידור Amusement,4,23
137,1017,צער Grief,1,23
138,1017,שמחה Happiness,3,23
139,1025,אדישות Apathy,1,24
140,1025,עצב Sadness,1,24
141,1025,רוגע Calm,3,24
142,1025,בידור Amusement,4,24
143,1025,צער Grief,1,24
144,1025,שמחה Happiness,4,24
145,1026,אדישות Apathy,3,25
146,1026,עצב Sadness,4,25
147,1026,רוגע Calm,3,25
148,1026,בידור Amusement,1,25
149,1026,צער Grief,5,25
150,1026,שמחה Happiness,2,25
151,1024,אדישות Apathy,1,26
152,1024,עצב Sadness,5,26
153,1024,רוגע Calm,2,26
154,1024,בידור Amusement,1,26
155,1024,צער Grief,5,26
156,1024,שמחה Happiness,1,26
157,1027,אדישות Apathy,2,27
158,1027,עצב Sadness,1,27
159,1027,רוגע Calm,3,27
160,1027,בידור Amusement,3,27
161,1027,צער Grief,1,27
162,1027,שמחה Happiness,3,27
163,1020,אדישות Apathy,3,28
164,1020,עצב Sadness,1,28
165,1020,רוגע Calm,4,28
166,1020,בידור Amusement,3,28
167,1020,צער Grief,1,28
168,1020,שמחה Happiness,4,28
169,1028,אדישות Apathy,2,29
170,1028,עצב Sadness,1,29
171,1028,רוגע Calm,2,29
172,1028,בידור Amusement,5,29
173,1028,צער Grief,1,29
174,1028,שמחה Happiness,5,29
175,1030,אדישות Apathy,2,30
176,1030,עצב Sadness,1,30
177,1030,רוגע Calm,5,30
178,1030,בידור Amusement,4,30
179,1030,צער Grief,1,30
180,1030,שמחה Happiness,5,30
181,1031,אדישות Apathy,3,31
182,1031,עצב Sadness,1,31
183,1031,רוגע Calm,4,31
184,1031,בידור Amusement,5,31
185,1031,צער Grief,1,31
186,1031,שמחה Happiness,4,31
187,1032,אדישות Apathy,2,32
188,1032,עצב Sadness,2,32
189,1032,רוגע Calm,3,32
190,1032,בידור Amusement,2,32
191,1032,צער Grief,2,32
192,1032,שמחה Happiness,2,32
193,1033,אדישות Apathy,4,33
194,1033,עצב Sadness,1,33
195,1033,רוגע Calm,3,33
196,1033,בידור Amusement,5,33
197,1033,צער Grief,1,33
198,1033,שמחה Happiness,4,33
199,1035,אדישות Apathy,2,34
200,1035,עצב Sadness,3,34
201,1035,רוגע Calm,1,34
202,1035,בידור Amusement,1,34
203,1035,צער Grief,3,34
204,1035,שמחה Happiness,1,34
205,1039,אדישות Apathy,1,35
206,1039,עצב Sadness,1,35
207,1039,רוגע Calm,5,35
208,1039,בידור Amusement,4,35
209,1039,צער Grief,1,35
210,1039,שמחה Happiness,3,35
211,1038,אדישות Apathy,2,36
212,1038,עצב Sadness,1,36
213,1038,רוגע Calm,4,36
214,1038,בידור Amusement,2,36
215,1038,צער Grief,1,36
216,1038,שמחה Happiness,3,36
NULL,NULL,NULL,NULL,NULL
